City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
201,taoudenni,44,ML,1553666353,89,22.68,-3.98,59.48,2.98
202,paris,40,FR,1553666305,86,48.86,2.35,41.0,5.82
203,mathbaria,0,BD,1553666337,58,22.29,89.96,87.65,4.43
204,nogliki,80,RU,1553666354,95,51.8,143.14,25.73,15.84
205,mokshan,92,RU,1553664748,99,53.44,44.61,39.99,9.8
206,kaitangata,32,NZ,1553666094,61,-46.28,169.85,55.99,8.01
207,kilindoni,68,TZ,1553666355,96,-7.91,39.67,85.4,2.08
208,storforshei,75,NO,1553666304,92,66.4,14.52,34.0,3.65
209,roald,75,NO,1553666103,93,62.58,6.12,41.0,16.11
210,vao,0,EE,1553666356,82,59.1,26.19,24.83,5.66
211,halifax,5,CA,1553666164,62,44.65,-63.58,24.01,9.17
212,chimbote,8,PE,1553666357,95,-9.08,-78.59,66.23,4.88
213,eskisehir,0,TR,1553662200,60,39.78,30.52,39.2,11.41
214,mar del plata,0,AR,1553666120,60,-46.43,-67.52,55.07,8.68
215,birnin kebbi,24,NG,1553666358,31,12.45,4.2,68.66,9.8
216,cortez,40,US,1553666326,61,37.35,-108.58,48.2,3.36
217,gorontalo,48,ID,1553666205,90,0.54,123.06,79.28,2.42
218,atocha,40,EC,1553665660,87,-1.22,-78.6,51.01,6.93
219,champerico,40,MX,1553661900,64,16.38,-93.6,75.2,17.22
220,awbari,0,LY,1553666360,44,26.59,12.77,53.36,7.34
221,shakiso,88,ET,1553666360,85,5.77,38.9,65.51,3.2
222,katsuura,75,JP,1553664875,55,33.93,134.5,68.0,12.75
223,nova olimpia,56,BR,1553666126,95,-14.8,-57.29,73.79,4.09
224,zhangye,8,CN,1553666361,89,38.94,100.46,49.13,3.2
225,luanda,75,AO,1553662800,88,-8.83,13.24,75.2,3.36
226,naze,56,NG,1553666276,92,5.43,7.07,75.14,3.98
227,carnarvon,24,ZA,1553666159,60,-30.97,22.13,53.36,2.98
228,tromso,90,NO,1553666137,92,69.65,18.96,30.2,34.45
229,korem,8,ET,1553666362,68,12.51,39.52,68.75,3.2
230,mlonggo,40,ID,1553664600,66,-6.53,110.7,89.6,10.29
231,mahebourg,75,MU,1553666346,74,-20.41,57.7,86.0,6.93
232,tuy hoa,64,VN,1553666364,76,13.08,109.3,81.98,7.34
233,necochea,0,AR,1553665950,92,-38.55,-58.74,50.0,3.09
234,farafangana,12,MG,1553666364,90,-22.82,47.83,82.61,8.68
235,gastonia,1,US,1553666231,55,35.26,-81.19,46.4,8.01
236,nieuw amsterdam,40,SR,1553665811,94,5.88,-55.08,75.99,3.36
237,ostrovnoy,0,RU,1553666365,82,68.05,39.51,18.17,13.71
238,maralal,32,KE,1553666203,79,1.1,36.7,69.2,3.65
239,savannah bight,92,HN,1553666366,96,16.45,-85.85,80.36,11.25
240,kendari,68,ID,1553666366,83,-3.99,122.52,84.14,3.76
241,gizo,20,IL,1553666358,76,31.8,34.94,61.0,8.05
242,kibungo,40,RW,1553665927,82,-2.14,30.55,64.4,1.12
243,porbandar,0,IN,1553664600,21,21.64,69.61,93.2,11.41
244,surt,32,LY,1553666278,80,31.21,16.59,59.93,8.46
245,klaksvik,36,FO,1553664000,93,62.23,-6.59,42.8,6.93
246,bend,1,US,1553666356,56,44.06,-121.32,44.6,5.82
247,kemerovo,0,RU,1553664600,51,55.36,86.09,35.6,4.47
248,rajaldesar,0,IN,1553666369,21,28.03,74.47,90.98,4.76
249,pontianak,75,ID,1553664600,59,-0.02,109.34,91.4,4.76
250,gravdal,75,NO,1553666227,100,59.79,5.78,43.0,1.12
251,dunedin,0,NZ,1553666001,50,-45.87,170.5,60.01,8.01
252,tiarei,75,PF,1553665941,74,-17.53,-149.33,84.2,3.36
253,port-gentil,75,GA,1553662800,94,-0.72,8.78,78.8,3.36
254,salym,76,RU,1553666371,75,60.06,71.48,35.81,9.01
255,alice springs,0,AU,1553664600,23,-23.7,133.88,82.4,12.75
256,parkes,0,AU,1553665796,30,-33.14,148.18,81.0,10.8
257,vostok,76,RU,1553666194,56,46.45,135.83,23.48,6.11
258,harper,1,US,1553666119,71,30.3,-99.24,63.0,9.01
259,avera,1,US,1553666137,81,33.19,-82.53,51.8,5.82
260,sovetskiy,36,RU,1553666372,94,56.76,48.47,33.2,10.8
261,quatre cocos,75,MU,1553666047,74,-20.21,57.76,86.0,6.93
262,sur,88,OM,1553666333,82,22.57,59.53,77.3,2.64
263,walvis bay,90,NA,1553662931,87,-22.95,14.51,61.0,5.82
264,goderich,24,CA,1553666134,70,43.74,-81.71,27.0,4.0
265,hirado,20,JP,1553665944,52,33.32,129.49,66.2,12.75
266,kidal,44,ML,1553666374,28,18.44,1.41,77.66,11.25
267,pauini,24,BR,1553666374,94,-7.71,-67.0,76.76,4.32
268,pitimbu,56,BR,1553666142,100,-7.47,-34.81,78.92,4.65
269,longyearbyen,75,NO,1553662200,62,78.22,15.63,21.2,19.46
270,bubaque,0,GW,1553666125,100,11.28,-15.83,75.68,14.27
271,salinopolis,88,BR,1553666205,100,-0.61,-47.36,79.01,7.11
272,kamenka,92,RU,1553664748,99,53.19,44.05,39.99,8.23
273,tortoli,40,IT,1553665791,93,39.93,9.66,50.0,35.57
274,bay roberts,90,CA,1553666324,79,47.58,-53.28,25.0,5.82
275,moncton,5,CA,1553665804,52,46.1,-64.8,19.99,2.24
276,huarmey,8,PE,1553666377,89,-10.07,-78.15,61.46,3.09
277,vardo,1,US,1553666161,86,39.62,-77.74,33.8,3.2
278,conceicao do mato dentro,92,BR,1553666377,92,-19.04,-43.42,66.23,2.64
279,barda,88,RU,1553666377,83,56.93,55.59,35.45,9.8
280,tieli,0,CN,1553666378,36,46.98,128.05,35.27,11.36
281,mier,88,IT,1553666355,72,46.13,12.19,45.0,3.36
282,noumea,75,NC,1553664600,65,-22.28,166.46,82.4,17.22
283,puerto colombia,0,CO,1553665566,85,10.99,-74.96,78.01,11.01
284,mpika,32,ZM,1553666379,83,-11.84,31.4,68.48,6.78
285,innisfail,90,CA,1553666116,98,52.02,-113.95,33.8,6.93
286,cherdyn,8,RU,1553666380,80,60.4,56.48,32.03,7.0
287,magistralnyy,76,RU,1553666180,61,56.17,107.45,27.35,5.44
288,lorengau,20,PG,1553666226,100,-2.02,147.27,82.16,8.79
289,arauca,0,VE,1553666151,63,7.08,-70.76,79.1,3.2
290,luganville,36,VU,1553666381,100,-15.51,167.18,81.98,13.04
291,dunkirk,0,FR,1553666302,87,51.03,2.38,46.0,2.24
292,bambous virieux,75,MU,1553666047,74,-20.34,57.76,86.0,6.93
293,egvekinot,76,RU,1553666154,87,66.32,-179.17,26.27,13.71
294,chapais,20,CA,1553662800,55,49.78,-74.86,6.8,5.82
295,maldonado,75,UY,1553662800,77,-34.91,-54.96,60.8,3.36
296,la cruz,20,MX,1553666118,95,23.92,-106.89,62.01,1.41
297,morant bay,20,JM,1553662800,65,17.88,-76.41,77.0,4.7
298,sawtell,90,AU,1553666305,77,-30.38,153.1,73.4,8.05
299,seoul,75,KR,1553665200,48,37.57,126.98,62.6,10.29
300,wewak,8,PG,1553666384,75,-3.55,143.63,85.49,4.99
301,anloga,20,GH,1553662800,88,5.79,0.9,80.6,2.24
302,cerinza,12,CO,1553666384,86,5.96,-72.95,50.66,1.97
303,acapulco,5,MX,1553661720,78,16.86,-99.88,77.0,4.7
304,tiksi,0,RU,1553666131,70,71.64,128.87,9.08,4.21
305,tessaoua,0,NE,1553666385,24,13.76,7.99,69.83,11.48
306,terney,20,RU,1553666386,76,45.05,136.61,33.38,15.28
307,icatu,20,BR,1553662800,94,-2.77,-44.05,77.0,2.24
308,katobu,32,ID,1553666386,78,-4.94,122.53,88.46,2.98
309,zhenlai,36,CN,1553666035,82,45.84,123.2,42.01,9.69
310,camacha,40,PT,1553664600,77,33.08,-16.33,62.6,16.11
311,zhurivka,90,UA,1553664600,90,50.5,31.77,32.0,4.47
312,vila franca do campo,20,PT,1553666364,67,37.72,-25.43,57.2,23.04
313,thinadhoo,64,MV,1553666143,100,0.53,72.93,83.78,4.32
314,the valley,40,AI,1553665577,78,18.22,-63.06,77.0,10.29
315,portland,1,US,1553666303,57,45.52,-122.67,48.99,3.76
316,flinders,40,AU,1553666106,60,-34.58,150.85,73.0,10.29
317,pandan,80,PH,1553666389,96,11.72,122.09,80.99,19.64
318,tagusao,76,PH,1553666389,80,9.19,117.81,83.87,6.11
319,longyan,44,CN,1553666390,68,25.1,117.03,74.33,2.86
320,lompoc,75,US,1553666213,93,34.64,-120.46,55.4,4.7
321,vestmanna,48,FO,1553664000,93,62.16,-7.17,42.8,6.93
322,salcia tudor,0,RO,1553666391,56,45.37,27.5,41.66,10.02
323,tignere,24,CM,1553666392,37,7.37,12.65,65.96,5.55
324,wakkanai,75,JP,1553662800,59,45.41,141.67,33.8,19.46
325,kumano,0,JP,1553662800,27,34.34,132.59,69.8,10.29
326,mancora,32,PE,1553666393,89,-4.1,-81.05,72.98,1.74
327,sobolevo,24,RU,1553666393,74,54.43,31.9,26.81,7.9
328,adrar,40,DZ,1553662800,87,27.87,-0.29,59.0,11.41
329,komsomolskiy,88,RU,1553666394,95,67.55,63.78,27.44,19.86
330,grand gaube,75,MU,1553666047,74,-20.01,57.66,86.0,6.93
331,cururupu,44,BR,1553666395,97,-1.82,-44.87,73.25,2.64
332,bathsheba,40,BB,1553662800,78,13.22,-59.52,78.8,19.46
333,belaya gora,56,RU,1553666395,68,68.54,146.19,2.06,10.25
334,san quintin,0,PH,1553666396,39,17.54,120.52,88.28,8.12
335,college,90,US,1553666316,93,64.86,-147.8,42.8,7.34
